conv spk part sid chno starttime endtime seg.id wavfile
AlGore_2006 AG AG 1 NA 18.94 19.75 AlGore_2006.AG.p.1.seg.1 AlGore_2006-light.wav
AlGore_2006 AG AG 2 NA 19.75 23.7 AlGore_2006.AG.p.1.seg.2 AlGore_2006-light.wav
AlGore_2006 AG AG 3 NA 23.7 26.63 AlGore_2006.AG.p.1.seg.3 AlGore_2006-light.wav
AlGore_2006 AG AG 4 NA 26.99 30.21 AlGore_2006.AG.p.1.seg.4 AlGore_2006-light.wav
AlGore_2006 AG AG 5 NA 30.45 36.17 AlGore_2006.AG.p.1.seg.5 AlGore_2006-light.wav
AlGore_2006 AG AG 6 NA 36.2 38.33 AlGore_2006.AG.p.1.seg.6 AlGore_2006-light.wav
AlGore_2006 AG AG 7 NA 38.77 40.31 AlGore_2006.AG.p.1.seg.7 AlGore_2006-light.wav
AlGore_2006 AG AG 8 NA 41.29 42.28 AlGore_2006.AG.p.1.seg.8 AlGore_2006-light.wav
AlGore_2006 AG AG 9 NA 43.17 43.96 AlGore_2006.AG.p.1.seg.9 AlGore_2006-light.wav
AlGore_2006 AG AG 10 NA 50.29 51.87 AlGore_2006.AG.p.3.seg.11 AlGore_2006-light.wav
AlGore_2006 AG AG 11 NA 58.83 61.23 AlGore_2006.AG.p.5.seg.13 AlGore_2006-light.wav
AlGore_2006 AG AG 12 NA 63.14 66.46 AlGore_2006.AG.p.7.seg.15 AlGore_2006-light.wav
AlGore_2006 AG AG 13 NA 75.94 77.03 AlGore_2006.AG.p.10.seg.18 AlGore_2006-light.wav
AlGore_2006 AG AG 14 NA 77.03 80.03 AlGore_2006.AG.p.10.seg.19 AlGore_2006-light.wav
AlGore_2006 AG AG 15 NA 82.38 84.42 AlGore_2006.AG.p.12.seg.21 AlGore_2006-light.wav
AlGore_2006 AG AG 16 NA 85.55 88.79 AlGore_2006.AG.p.13.seg.22 AlGore_2006-light.wav
AlGore_2006 AG AG 17 NA 91.11 96.08 AlGore_2006.AG.p.15.seg.24 AlGore_2006-light.wav
AlGore_2006 AG AG 18 NA 96.08 97.83 AlGore_2006.AG.p.15.seg.25 AlGore_2006-light.wav
AlGore_2006 AG AG 19 NA 99.34 100.46 AlGore_2006.AG.p.15.seg.26 AlGore_2006-light.wav
AlGore_2006 AG AG 20 NA 103.44 105.72 AlGore_2006.AG.p.17.seg.28 AlGore_2006-light.wav
AlGore_2006 AG AG 21 NA 111.68 115.8 AlGore_2006.AG.p.19.seg.30 AlGore_2006-light.wav
AlGore_2006 AG AG 22 NA 115.8 120.24 AlGore_2006.AG.p.19.seg.31 AlGore_2006-light.wav
AlGore_2006 AG AG 23 NA 120.41 122.04 AlGore_2006.AG.p.19.seg.32 AlGore_2006-light.wav
AlGore_2006 AG AG 24 NA 124.94 126.61 AlGore_2006.AG.p.21.seg.34 AlGore_2006-light.wav
AlGore_2006 AG AG 25 NA 133.96 135.93 AlGore_2006.AG.p.23.seg.36 AlGore_2006-light.wav
AlGore_2006 AG AG 26 NA 138.8 140.02 AlGore_2006.AG.p.25.seg.38 AlGore_2006-light.wav
AlGore_2006 AG AG 27 NA 140.54 143.29 AlGore_2006.AG.p.25.seg.39 AlGore_2006-light.wav
AlGore_2006 AG AG 28 NA 144 145.21 AlGore_2006.AG.p.25.seg.40 AlGore_2006-light.wav
AlGore_2006 AG AG 29 NA 145.21 148.53 AlGore_2006.AG.p.25.seg.41 AlGore_2006-light.wav
AlGore_2006 AG AG 30 NA 148.53 151.23 AlGore_2006.AG.p.25.seg.42 AlGore_2006-light.wav
AlGore_2006 AG AG 31 NA 152.28 156.06 AlGore_2006.AG.p.25.seg.43 AlGore_2006-light.wav
AlGore_2006 AG AG 32 NA 157.23 161.36 AlGore_2006.AG.p.25.seg.44 AlGore_2006-light.wav
