conv spk part sid chno starttime endtime word.id wavfile
AlGore_2006 AG AG 3 NA 18.94 19.1 AlGore_2006.AG.words3 AlGore_2006-light.wav
AlGore_2006 AG AG 4 NA 19.1 19.39 AlGore_2006.AG.words4 AlGore_2006-light.wav
AlGore_2006 AG AG 5 NA 19.39 19.75 AlGore_2006.AG.words5 AlGore_2006-light.wav
AlGore_2006 AG AG 6 NA 19.75 19.88 AlGore_2006.AG.words6 AlGore_2006-light.wav
AlGore_2006 AG AG 7 NA 19.88 20.12 AlGore_2006.AG.words7 AlGore_2006-light.wav
AlGore_2006 AG AG 8 NA 21.56 21.91 AlGore_2006.AG.words8 AlGore_2006-light.wav
AlGore_2006 AG AG 9 NA 21.91 21.98 AlGore_2006.AG.words9 AlGore_2006-light.wav
AlGore_2006 AG AG 10 NA 21.98 22.25 AlGore_2006.AG.words10 AlGore_2006-light.wav
AlGore_2006 AG AG 11 NA 22.25 22.58 AlGore_2006.AG.words11 AlGore_2006-light.wav
AlGore_2006 AG AG 12 NA 22.58 22.68 AlGore_2006.AG.words12 AlGore_2006-light.wav
AlGore_2006 AG AG 13 NA 22.68 22.91 AlGore_2006.AG.words13 AlGore_2006-light.wav
AlGore_2006 AG AG 14 NA 22.91 23.05 AlGore_2006.AG.words14 AlGore_2006-light.wav
AlGore_2006 AG AG 15 NA 23.08 23.7 AlGore_2006.AG.words15 AlGore_2006-light.wav
AlGore_2006 AG AG 16 NA 23.7 23.8 AlGore_2006.AG.words16 AlGore_2006-light.wav
AlGore_2006 AG AG 17 NA 23.8 24.02 AlGore_2006.AG.words17 AlGore_2006-light.wav
AlGore_2006 AG AG 18 NA 24.02 24.1 AlGore_2006.AG.words18 AlGore_2006-light.wav
AlGore_2006 AG AG 19 NA 24.1 24.25 AlGore_2006.AG.words19 AlGore_2006-light.wav
AlGore_2006 AG AG 20 NA 24.25 24.65 AlGore_2006.AG.words20 AlGore_2006-light.wav
AlGore_2006 AG AG 21 NA 24.65 25.13 AlGore_2006.AG.words21 AlGore_2006-light.wav
AlGore_2006 AG AG 22 NA 25.13 25.3 AlGore_2006.AG.words22 AlGore_2006-light.wav
AlGore_2006 AG AG 23 NA 25.51 26.12 AlGore_2006.AG.words23 AlGore_2006-light.wav
AlGore_2006 AG AG 24 NA 26.12 26.63 AlGore_2006.AG.words24 AlGore_2006-light.wav
AlGore_2006 AG AG 25 NA 26.99 27.22 AlGore_2006.AG.words25 AlGore_2006-light.wav
AlGore_2006 AG AG 26 NA 27.22 27.41 AlGore_2006.AG.words26 AlGore_2006-light.wav
AlGore_2006 AG AG 27 NA 27.41 27.65 AlGore_2006.AG.words27 AlGore_2006-light.wav
AlGore_2006 AG AG 28 NA 27.65 28.12 AlGore_2006.AG.words28 AlGore_2006-light.wav
AlGore_2006 AG AG 29 NA 28.12 28.49 AlGore_2006.AG.words29 AlGore_2006-light.wav
AlGore_2006 AG AG 30 NA 28.49 28.76 AlGore_2006.AG.words30 AlGore_2006-light.wav
AlGore_2006 AG AG 31 NA 28.76 29.18 AlGore_2006.AG.words31 AlGore_2006-light.wav
AlGore_2006 AG AG 32 NA 29.41 30.21 AlGore_2006.AG.words32 AlGore_2006-light.wav
AlGore_2006 AG AG 33 NA 30.45 30.63 AlGore_2006.AG.words33 AlGore_2006-light.wav
AlGore_2006 AG AG 34 NA 30.63 30.68 AlGore_2006.AG.words34 AlGore_2006-light.wav
AlGore_2006 AG AG 35 NA 30.68 30.87 AlGore_2006.AG.words35 AlGore_2006-light.wav
AlGore_2006 AG AG 36 NA 30.87 30.93 AlGore_2006.AG.words36 AlGore_2006-light.wav
AlGore_2006 AG AG 37 NA 30.93 31.26 AlGore_2006.AG.words37 AlGore_2006-light.wav
AlGore_2006 AG AG 38 NA 31.48 31.81 AlGore_2006.AG.words38 AlGore_2006-light.wav
AlGore_2006 AG AG 39 NA 31.81 31.94 AlGore_2006.AG.words39 AlGore_2006-light.wav
AlGore_2006 AG AG 40 NA 31.94 32.27 AlGore_2006.AG.words40 AlGore_2006-light.wav
AlGore_2006 AG AG 41 NA 32.3 32.71 AlGore_2006.AG.words41 AlGore_2006-light.wav
AlGore_2006 AG AG 42 NA 32.71 32.97 AlGore_2006.AG.words42 AlGore_2006-light.wav
AlGore_2006 AG AG 43 NA 33.25 33.93 AlGore_2006.AG.words43 AlGore_2006-light.wav
AlGore_2006 AG AG 44 NA 35.26 35.61 AlGore_2006.AG.words44 AlGore_2006-light.wav
AlGore_2006 AG AG 45 NA 35.61 36.17 AlGore_2006.AG.words45 AlGore_2006-light.wav
AlGore_2006 AG AG 46 NA 36.2 36.63 AlGore_2006.AG.words46 AlGore_2006-light.wav
AlGore_2006 AG AG 47 NA 36.66 36.83 AlGore_2006.AG.words47 AlGore_2006-light.wav
AlGore_2006 AG AG 48 NA 36.83 36.89 AlGore_2006.AG.words48 AlGore_2006-light.wav
AlGore_2006 AG AG 49 NA 36.89 37.01 AlGore_2006.AG.words49 AlGore_2006-light.wav
AlGore_2006 AG AG 50 NA 37.01 37.08 AlGore_2006.AG.words50 AlGore_2006-light.wav
AlGore_2006 AG AG 51 NA 37.08 37.29 AlGore_2006.AG.words51 AlGore_2006-light.wav
AlGore_2006 AG AG 52 NA 37.76 37.94 AlGore_2006.AG.words52 AlGore_2006-light.wav
AlGore_2006 AG AG 53 NA 37.94 38.09 AlGore_2006.AG.words53 AlGore_2006-light.wav
AlGore_2006 AG AG 54 NA 38.09 38.33 AlGore_2006.AG.words54 AlGore_2006-light.wav
AlGore_2006 AG AG 55 NA 38.77 38.94 AlGore_2006.AG.words55 AlGore_2006-light.wav
AlGore_2006 AG AG 56 NA 38.94 39.06 AlGore_2006.AG.words56 AlGore_2006-light.wav
AlGore_2006 AG AG 57 NA 39.06 39.37 AlGore_2006.AG.words57 AlGore_2006-light.wav
AlGore_2006 AG AG 58 NA 39.37 39.57 AlGore_2006.AG.words58 AlGore_2006-light.wav
AlGore_2006 AG AG 59 NA 39.57 40.31 AlGore_2006.AG.words59 AlGore_2006-light.wav
