sent.id	word.id	conv	alt.conv	id	spk	seg.id	pid	tid	starttime	endtime	nwords	word	utt.position	punc
AlGore_2006.AG.p.1.sent.1	AlGore_2006.AG.words1	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.1	p.1	t.1	18	19	5	Thank	1	None
AlGore_2006.AG.p.1.sent.1	AlGore_2006.AG.words2	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.1	p.1	t.1	18	19	5	you	2	None
AlGore_2006.AG.p.1.sent.1	AlGore_2006.AG.words3	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.1	p.1	t.1	18	19	5	so	3	None
AlGore_2006.AG.p.1.sent.1	AlGore_2006.AG.words4	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.1	p.1	t.1	18	19	5	much,	4	,
AlGore_2006.AG.p.1.sent.1	AlGore_2006.AG.words5	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.1	p.1	t.1	18	19	5	Chris.	5	.
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words6	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	And	1	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words7	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	it's	2	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words8	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	truly	3	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words9	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	a	4	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words10	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	great	5	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words11	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	honor	6	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words12	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	to	7	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words13	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	have	8	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words14	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	the	9	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words15	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.2	p.1	t.2	19	23	10	opportunity	10	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words16	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	to	1	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words17	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	come	2	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words18	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	to	3	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words19	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	this	4	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words20	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	stage	5	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words21	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	twice;	6	;
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words22	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	I'm	7	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words23	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	extremely	8	None
AlGore_2006.AG.p.1.sent.2	AlGore_2006.AG.words24	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.3	p.1	t.3	23	26	9	grateful.	9	.
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words25	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	I	1	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words26	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	have	2	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words27	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	been	3	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words28	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	blown	4	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words29	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	away	5	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words30	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	by	6	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words31	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	this	7	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words32	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.4	p.1	t.4	26	30	8	conference,	8	,
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words33	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	and	1	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words34	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	I	2	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words35	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	want	3	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words36	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	to	4	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words37	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	thank	5	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words38	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	all	6	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words39	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	of	7	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words40	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	you	8	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words41	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	for	9	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words42	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	the	10	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words43	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	many	11	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words44	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	nice	12	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words45	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.5	p.1	t.5	30	35	13	comments	13	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words46	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	about	1	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words47	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	what	2	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words48	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	I	3	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words49	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	had	4	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words50	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	to	5	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words51	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	say	6	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words52	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	the	7	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words53	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	other	8	None
AlGore_2006.AG.p.1.sent.3	AlGore_2006.AG.words54	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.6	p.1	t.6	35	38	9	night.	9	.
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words55	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.7	p.1	t.7	38	40	5	And	1	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words56	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.7	p.1	t.7	38	40	5	I	2	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words57	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.7	p.1	t.7	38	40	5	say	3	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words58	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.7	p.1	t.7	38	40	5	that	4	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words59	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.7	p.1	t.7	38	40	5	sincerely,	5	,
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words60	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.8	p.1	t.8	40	42	2	partly	1	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words61	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.8	p.1	t.8	40	42	2	because	2	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words62	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.9	p.1	t.9	42	44	3	I	1	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words63	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.9	p.1	t.9	42	44	3	need	2	None
AlGore_2006.AG.p.1.sent.4	AlGore_2006.AG.words64	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.1.seg.9	p.1	t.9	42	44	3	that.	3	.
AlGore_2006.AG.p.3.sent.5	AlGore_2006.AG.words65	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.3.seg.11	p.3	t.11	49	51	5	Put	1	None
AlGore_2006.AG.p.3.sent.5	AlGore_2006.AG.words66	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.3.seg.11	p.3	t.11	49	51	5	yourselves	2	None
AlGore_2006.AG.p.3.sent.5	AlGore_2006.AG.words67	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.3.seg.11	p.3	t.11	49	51	5	in	3	None
AlGore_2006.AG.p.3.sent.5	AlGore_2006.AG.words68	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.3.seg.11	p.3	t.11	49	51	5	my	4	None
AlGore_2006.AG.p.3.sent.5	AlGore_2006.AG.words69	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.3.seg.11	p.3	t.11	49	51	5	position.	5	.
AlGore_2006.AG.p.5.sent.6	AlGore_2006.AG.words70	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.5.seg.13	p.5	t.13	58	61	9	I	1	None
AlGore_2006.AG.p.5.sent.6	AlGore_2006.AG.words71	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.5.seg.13	p.5	t.13	58	61	9	flew	2	None
AlGore_2006.AG.p.5.sent.6	AlGore_2006.AG.words72	AlGore_2006	0001	1	AG	AlGore_2006.AG.p.5.seg.13	p.5	t.13	58	61	9	on	3	None
